Date,NAV,MDD
2024-04-17,104.98,-0.01
2024-04-18,105.03,-0.01
2024-04-19,104.95,-0.01
2024-04-20,104.95,-0.01
2024-04-21,104.85,-0.01
2024-04-22,105.22,-0.01
2024-04-23,105.28,0
2024-04-24,105.5,0
2024-04-25,105.1,-0.01
2024-04-26,105.1,-0.01
2024-04-27,105.03,-0.01
2024-04-28,104.99,-0.01
2024-04-29,104.82,-0.01
2024-04-30,104.9,-0.01
2024-05-01,104.9,-0.01
2024-05-02,104.34,-0.01
2024-05-03,104.18,-0.01
2024-05-04,104.63,-0.01
2024-05-05,104.32,-0.01
2024-05-06,104.65,-0.01
2024-05-07,105.06,-0.01
2024-05-08,105.21,-0.01
2024-05-09,105.43,0
2024-05-10,105.53,0
2024-05-11,105.53,0
2024-05-12,105.21,-0.01
2024-05-13,105.42,0
2024-05-14,105.41,0
2024-05-15,105.41,0
2024-05-16,105.47,0
2024-05-17,106.02,0
2024-05-18,105.98,0
2024-05-19,105.94,0
2024-05-20,106.18,0
2024-05-21,106.34,0
2024-05-22,106.37,0
2024-05-23,106.5,0
2024-05-24,106.32,0
2024-05-25,106.32,0
2024-05-26,106.81,0
2024-05-27,106.79,0
2024-05-28,106.74,0
2024-05-29,106.76,0
2024-05-30,106.94,0
2024-05-31,107.02,0
2024-06-01,107.09,0
2024-06-02,107.08,0
2024-06-03,106.9,0
2024-06-04,106.88,0
2024-06-05,106.95,0
2024-06-06,107.14,0
2024-06-07,107.34,0
2024-06-08,107.3,0
2024-06-09,107.08,0
2024-06-10,107.11,0
2024-06-11,107.27,0
2024-06-12,107.31,0
2024-06-13,107.51,0
2024-06-14,107.74,0
2024-06-15,107.8,0
2024-06-16,107.8,0
2024-06-17,108.19,0
2024-06-18,108.47,0
2024-06-19,108.56,0
2024-06-20,108.42,0
2024-06-21,108.52,0
2024-06-22,108.69,0
2024-06-23,108.99,0
2024-06-24,108.96,0
2024-06-25,108.86,0
2024-06-26,108.97,0
2024-06-27,108.96,0
2024-06-28,109.16,0
2024-06-29,109.21,0
2024-06-30,109.32,0
2024-07-01,109.14,0
2024-07-02,109.27,0
2024-07-03,109.5,0
2024-07-04,109.32,0
2024-07-05,109.22,0
2024-07-06,109.38,0
2024-07-07,109.32,0
2024-07-08,109.65,0
2024-07-09,109.74,0
2024-07-10,109.77,0
2024-07-11,109.82,0
2024-07-12,109.65,0
2024-07-13,109.89,0
2024-07-14,110.09,0
2024-07-15,110.33,0
2024-07-16,110.5,0
2024-07-17,110.42,0
2024-07-18,110.48,0
2024-07-19,110.36,0
2024-07-20,110.38,0
2024-07-21,110.55,0
2024-07-22,110.07,0
2024-07-23,110.18,0
2024-07-24,110,0
2024-07-25,109.8,-0.01
2024-07-26,109.91,-0.01
2024-07-27,109.81,-0.01
2024-07-28,109.55,-0.01
2024-07-29,109.52,-0.01
2024-07-30,109.5,-0.01
2024-07-31,109.39,-0.01
2024-08-01,109.36,-0.01
2024-08-02,108.86,-0.02
2024-08-03,108.77,-0.02
2024-08-04,108.22,-0.02
2024-08-05,107.28,-0.03
2024-08-06,107.63,-0.03
2024-08-07,107.61,-0.03
2024-08-08,107.67,-0.03
2024-08-09,107.82,-0.02
2024-08-10,107.9,-0.02
2024-08-11,108.32,-0.02
2024-08-12,107.79,-0.02
2024-08-13,107.84,-0.02
2024-08-14,108.09,-0.02
2024-08-15,106.93,-0.03
2024-08-16,108.13,-0.02
2024-08-17,108.1,-0.02
2024-08-18,107.84,-0.02
2024-08-19,107.88,-0.02
2024-08-20,108.15,-0.02
2024-08-21,108.14,-0.02
2024-08-22,108.36,-0.02
2024-08-23,108.45,-0.02
2024-08-24,108.85,-0.02
2024-08-25,108.85,-0.02
2024-08-26,109.27,-0.01
2024-08-27,109.26,-0.01
2024-08-28,109.44,-0.01
2024-08-29,109.17,-0.01
2024-08-30,109.6,-0.01
2024-08-31,109.57,-0.01
2024-09-01,109.62,-0.01
2024-09-02,109.57,-0.01
2024-09-03,109.64,-0.01
2024-09-04,109.08,-0.01
2024-09-05,109.21,-0.01
2024-09-06,108.76,-0.02
2024-09-07,108.75,-0.02
2024-09-08,108.52,-0.02
2024-09-09,108.64,-0.02
2024-09-10,108.84,-0.02
2024-09-11,108.85,-0.02
2024-09-12,109.33,-0.01
2024-09-13,109.24,-0.01
2024-09-14,108.63,-0.02
2024-09-15,108.71,-0.02
2024-09-16,108.67,-0.02
2024-09-17,108.67,-0.02
2024-09-18,108.67,-0.02
2024-09-19,108.73,-0.02
2024-09-20,109.01,-0.01
2024-09-21,109.19,-0.01
2024-09-22,109.63,-0.01
2024-09-23,110.02,0
2024-09-24,110.03,0
2024-09-25,109.96,-0.01
2024-09-26,110.08,0
2024-09-27,109.88,-0.01
2024-09-28,109.88,-0.01
2024-09-29,110.1,0
2024-09-30,110.04,0
2024-10-01,110.04,0
2024-10-02,110.18,0
2024-10-03,110.23,0
2024-10-04,110.55,0
2024-10-05,110.57,0
2024-10-06,110.9,0
2024-10-07,111.21,0
2024-10-08,111.04,0
2024-10-09,111.04,0
2024-10-10,111.32,0
2024-10-11,111.28,0
2024-10-12,111.07,0
2024-10-13,111.07,0
2024-10-14,111.5,0
2024-10-15,111.86,0
2024-10-16,111.68,0
2024-10-17,112.01,0
2024-10-18,111.86,0
2024-10-19,111.86,0
2024-10-20,112.21,0
2024-10-21,112.42,0
2024-10-22,112.45,0
2024-10-23,112.49,0
2024-10-24,112.44,0
2024-10-25,112.72,0
2024-10-26,112.57,0
2024-10-27,112.64,0
2024-10-28,112.71,0
2024-10-29,112.72,0
2024-10-30,112.75,0
2024-10-31,112.51,0
2024-11-01,112.17,-0.01
2024-11-02,112.27,0
2024-11-03,112.09,-0.01
2024-11-04,112.12,-0.01
2024-11-05,112.17,-0.01
2024-11-06,113.17,0
2024-11-07,113.75,0
2024-11-08,113.67,0
2024-11-09,113.95,0
2024-11-10,113.62,0
2024-11-11,113.56,0
2024-11-12,113.69,0
2024-11-13,113.63,0
2024-11-14,113.79,0
2024-11-15,113.23,-0.01
2024-11-16,113.7,0
2024-11-17,113.82,0
2024-11-18,113.97,0
2024-11-19,113.98,0
2024-11-20,114.08,0
2024-11-21,114.14,0
2024-11-22,114.22,0
2024-11-23,114.09,0
2024-11-24,113.96,0
2024-11-25,113.97,0
2024-11-26,113.89,0
2024-11-27,114,0
2024-11-28,113.89,0
2024-11-29,114.09,0
2024-11-30,114.25,0
2024-12-01,114.2,0
2024-12-02,114.52,0
2024-12-03,114.64,0
2024-12-04,114.88,0
2024-12-05,115.22,0
2024-12-06,115.08,0
2024-12-07,115.18,0
2024-12-08,115.07,0
2024-12-09,115.6,0
2024-12-10,115.26,0
2024-12-11,115.32,0
2024-12-12,115.47,0
2024-12-13,115.65,0
