Date,NAV,MDD
2024-04-07,105.04,-0.01
2024-04-08,105.51,0
2024-04-09,105.71,0
2024-04-10,105.71,0
2024-04-11,105.55,0
2024-04-12,106.48,0
2024-04-13,106.48,0
2024-04-14,106.48,0
2024-04-15,106.21,0
2024-04-16,105.72,-0.01
2024-04-17,105.22,-0.01
2024-04-18,104.82,-0.02
2024-04-19,104.5,-0.02
2024-04-20,104.5,-0.02
2024-04-21,104.5,-0.02
2024-04-22,104.26,-0.02
2024-04-23,104.36,-0.02
2024-04-24,105.05,-0.01
2024-04-25,104.6,-0.02
2024-04-26,105.2,-0.01
2024-04-27,105.2,-0.01
2024-04-28,105.2,-0.01
2024-04-29,105.6,-0.01
2024-04-30,105.76,-0.01
2024-05-01,105.76,-0.01
2024-05-02,104.86,-0.02
2024-05-03,104.9,-0.01
2024-05-04,104.9,-0.01
2024-05-05,104.9,-0.01
2024-05-06,104.9,-0.01
2024-05-07,105.84,-0.01
2024-05-08,105.99,0
2024-05-09,106.05,0
2024-05-10,106.38,0
2024-05-11,106.38,0
2024-05-12,106.38,0
2024-05-13,106.44,0
2024-05-14,106.44,0
2024-05-15,106.44,0
2024-05-16,106.92,0
2024-05-17,106.97,0
2024-05-18,106.97,0
2024-05-19,106.97,0
2024-05-20,107.1,0
2024-05-21,107.4,0
2024-05-22,107.48,0
2024-05-23,107.51,0
2024-05-24,107.1,0
2024-05-25,107.1,0
2024-05-26,107.1,0
2024-05-27,107.36,0
2024-05-28,107.27,0
2024-05-29,107.26,0
2024-05-30,107.17,0
2024-05-31,107.3,0
2024-06-01,107.3,0
2024-06-02,107.3,0
2024-06-03,107.34,0
2024-06-04,107.35,0
2024-06-05,107.5,0
2024-06-06,107.5,0
2024-06-07,108.1,0
2024-06-08,108.1,0
2024-06-09,108.1,0
2024-06-10,107.95,0
2024-06-11,108.33,0
2024-06-12,108.58,0
2024-06-13,109.15,0
2024-06-14,109.37,0
2024-06-15,109.37,0
2024-06-16,109.37,0
2024-06-17,109.35,0
2024-06-18,109.91,0
2024-06-19,110.12,0
2024-06-20,110.41,0
2024-06-21,110.18,0
2024-06-22,110.18,0
2024-06-23,110.18,0
2024-06-24,109.99,0
2024-06-25,109.65,-0.01
2024-06-26,109.99,0
2024-06-27,109.78,-0.01
2024-06-28,109.85,-0.01
2024-06-29,109.85,-0.01
2024-06-30,109.85,-0.01
2024-07-01,109.73,-0.01
