Date,NAV,MDD
2024-04-04,112.03,-0.01
2024-04-05,110.78,-0.02
2024-04-06,110.78,-0.02
2024-04-07,110.78,-0.02
2024-04-08,111.42,-0.01
2024-04-09,111.91,-0.01
2024-04-10,111.91,-0.01
2024-04-11,111.65,-0.01
2024-04-12,113.42,0
2024-04-13,113.42,0
2024-04-14,113.42,0
2024-04-15,112.65,-0.01
2024-04-16,111.57,-0.02
2024-04-17,110.92,-0.02
2024-04-18,110.07,-0.03
2024-04-19,108.51,-0.04
2024-04-20,108.51,-0.04
2024-04-21,108.51,-0.04
2024-04-22,107.69,-0.05
2024-04-23,108.09,-0.05
2024-04-24,109.9,-0.03
2024-04-25,108.81,-0.04
2024-04-26,110.34,-0.03
2024-04-27,110.34,-0.03
2024-04-28,110.34,-0.03
2024-04-29,111.48,-0.02
2024-04-30,111.67,-0.02
2024-05-01,111.67,-0.02
2024-05-02,109.63,-0.03
2024-05-03,109.79,-0.03
2024-05-04,109.79,-0.03
2024-05-05,109.79,-0.03
2024-05-06,109.79,-0.03
2024-05-07,111.89,-0.01
2024-05-08,111.98,-0.01
2024-05-09,112.07,-0.01
2024-05-10,112.26,-0.01
2024-05-11,112.26,-0.01
2024-05-12,112.26,-0.01
2024-05-13,112.78,-0.01
2024-05-14,112.74,-0.01
2024-05-15,112.74,-0.01
2024-05-16,114.09,0
2024-05-17,114.08,0
2024-05-18,114.08,0
2024-05-19,114.08,0
2024-05-20,113.97,0
2024-05-21,114.97,0
2024-05-22,115.18,0
2024-05-23,116.1,0
2024-05-24,115.43,-0.01
2024-05-25,115.43,-0.01
2024-05-26,115.43,-0.01
2024-05-27,116.32,0
2024-05-28,116.29,0
2024-05-29,116.65,0
2024-05-30,116.2,0
2024-05-31,116.23,0
2024-06-01,116.23,0
2024-06-02,116.23,0
2024-06-03,116.34,0
2024-06-04,116.31,0
2024-06-05,116.52,0
2024-06-06,116.52,0
2024-06-07,118.12,0
2024-06-08,118.12,0
2024-06-09,118.12,0
2024-06-10,118.23,0
2024-06-11,119.19,0
2024-06-12,119.62,0
2024-06-13,121.45,0
2024-06-14,121.9,0
2024-06-15,121.9,0
2024-06-16,121.9,0
2024-06-17,122.05,0
2024-06-18,123.26,0
2024-06-19,124.22,0
2024-06-20,124.83,0
2024-06-21,123.16,-0.01
2024-06-22,123.16,-0.01
2024-06-23,123.16,-0.01
2024-06-24,122.4,-0.02
2024-06-25,120.85,-0.03
2024-06-26,122.38,-0.02
2024-06-27,121.54,-0.03
2024-06-28,121.43,-0.03
2024-06-29,121.43,-0.03
2024-06-30,121.43,-0.03
2024-07-01,121.51,-0.03
2024-07-02,121.58,-0.03
2024-07-03,122.75,-0.02
2024-07-04,123.43,-0.01
2024-07-05,123.59,-0.01
2024-07-06,123.59,-0.01
2024-07-07,123.59,-0.01
2024-07-08,124.06,-0.01
2024-07-09,124.9,0
2024-07-10,125.1,0
2024-07-11,125.88,0
2024-07-12,123.89,-0.02
2024-07-13,123.89,-0.02
2024-07-14,123.89,-0.02
2024-07-15,125.18,-0.01
2024-07-16,125.36,0
2024-07-17,124.35,-0.01
2024-07-18,122.56,-0.03
2024-07-19,121.91,-0.03
2024-07-20,121.91,-0.03
2024-07-21,121.91,-0.03
2024-07-22,120.62,-0.04
2024-07-23,121.77,-0.03
2024-07-24,120.74,-0.04
2024-07-25,118.44,-0.06
2024-07-26,117.99,-0.06
2024-07-27,117.99,-0.06
2024-07-28,117.99,-0.06
2024-07-29,118.92,-0.06
2024-07-30,118.14,-0.06
2024-07-31,117.79,-0.06
2024-08-01,119.6,-0.05
2024-08-02,114.68,-0.09
2024-08-03,114.68,-0.09
2024-08-04,114.68,-0.09
2024-08-05,108.48,-0.14
2024-08-06,113.07,-0.1
2024-08-07,113.49,-0.1
2024-08-08,112.08,-0.11
2024-08-09,114.26,-0.09
2024-08-10,114.26,-0.09
2024-08-11,114.26,-0.09
2024-08-12,114.82,-0.09
2024-08-13,115.2,-0.08
2024-08-14,117.04,-0.07
2024-08-15,117.04,-0.07
2024-08-16,119.46,-0.05
2024-08-17,119.46,-0.05
2024-08-18,119.46,-0.05
2024-08-19,117.71,-0.06
2024-08-20,119.14,-0.05
2024-08-21,118.7,-0.06
2024-08-22,119.16,-0.05
2024-08-23,118.25,-0.06
2024-08-24,118.25,-0.06
2024-08-25,118.25,-0.06
2024-08-26,118.46,-0.06
2024-08-27,117.5,-0.07
2024-08-28,118.27,-0.06
2024-08-29,116.36,-0.08
2024-08-30,117.24,-0.07
2024-08-31,117.24,-0.07
2024-09-01,117.24,-0.07
2024-09-02,118,-0.06
2024-09-03,117.94,-0.06
2024-09-04,114.14,-0.09
2024-09-05,114.25,-0.09
2024-09-06,113.39,-0.1
2024-09-07,113.39,-0.1
2024-09-08,113.39,-0.1
2024-09-09,112.88,-0.1
2024-09-10,113.5,-0.1
2024-09-11,113.81,-0.1
2024-09-12,116.53,-0.07
2024-09-13,116.27,-0.08
2024-09-14,116.27,-0.08
2024-09-15,116.27,-0.08
2024-09-16,116.27,-0.08
2024-09-17,116.27,-0.08
2024-09-18,116.27,-0.08
2024-09-19,117.34,-0.07
2024-09-20,118.37,-0.06
2024-09-21,118.37,-0.06
2024-09-22,118.37,-0.06
2024-09-23,118.5,-0.06
2024-09-24,118.57,-0.06
2024-09-25,118.57,-0.06
2024-09-26,120.45,-0.04
2024-09-27,119.49,-0.05
2024-09-28,119.49,-0.05
2024-09-29,119.49,-0.05
2024-09-30,117.92,-0.06
2024-10-01,117.92,-0.06
2024-10-02,117.06,-0.07
2024-10-03,117.06,-0.07
2024-10-04,118.88,-0.06
2024-10-05,118.88,-0.06
2024-10-06,118.88,-0.06
2024-10-07,120.29,-0.04
2024-10-08,119.85,-0.05
2024-10-09,119.85,-0.05
2024-10-10,121.82,-0.03
2024-10-11,121.64,-0.03
2024-10-12,121.64,-0.03
2024-10-13,121.64,-0.03
2024-10-14,122.41,-0.03
2024-10-15,123.74,-0.02
2024-10-16,121.82,-0.03
2024-10-17,122.64,-0.03
2024-10-18,122.66,-0.03
2024-10-19,122.66,-0.03
2024-10-20,122.66,-0.03
2024-10-21,123,-0.02
2024-10-22,123.05,-0.02
2024-10-23,123.23,-0.02
2024-10-24,122.84,-0.02
2024-10-25,123.35,-0.02
2024-10-26,123.35,-0.02
2024-10-27,123.35,-0.02
2024-10-28,124.13,-0.01
2024-10-29,123.71,-0.02
2024-10-30,124.28,-0.01
2024-10-31,122.58,-0.03
2024-11-01,121.23,-0.04
2024-11-02,121.23,-0.04
2024-11-03,121.23,-0.04
2024-11-04,121.41,-0.04
2024-11-05,121.38,-0.04
2024-11-06,124.33,-0.01
2024-11-07,125.87,0
2024-11-08,126.79,0
2024-11-09,126.79,0
2024-11-10,126.79,0
2024-11-11,127.09,0
2024-11-12,126.63,0
2024-11-13,126.1,-0.01
2024-11-14,125.47,-0.01
2024-11-15,124.56,-0.02
2024-11-16,124.56,-0.02
2024-11-17,124.56,-0.02
2024-11-18,123.61,-0.03
2024-11-19,123.57,-0.03
2024-11-20,124.15,-0.02
2024-11-21,123.77,-0.03
2024-11-22,124.79,-0.02
2024-11-23,124.79,-0.02
2024-11-24,124.79,-0.02
2024-11-25,125.18,-0.02
2024-11-26,125.18,-0.02
2024-11-27,124.5,-0.02
2024-11-28,124.14,-0.02
2024-11-29,124.3,-0.02
2024-11-30,124.3,-0.02
2024-12-01,124.3,-0.02
2024-12-02,124.98,-0.02
2024-12-03,126.18,-0.01
2024-12-04,127.23,0
2024-12-05,128.2,0
2024-12-06,127.93,0
2024-12-07,127.93,0
2024-12-08,127.93,0
2024-12-09,129.22,0
2024-12-10,127.94,-0.01
2024-12-11,127.47,-0.01
2024-12-12,128.74,0
2024-12-13,128.81,0
