,NAV,MDD
2024-04-05,105.73,0
2024-04-06,105.73,0
2024-04-07,105.73,0
2024-04-08,105.86,0
2024-04-09,106.18,0
2024-04-10,105.38,-0.01
2024-04-11,106.4,0
2024-04-12,105.48,-0.01
2024-04-13,105.48,-0.01
2024-04-14,105.48,-0.01
2024-04-15,105.16,-0.01
2024-04-16,105.11,-0.01
2024-04-17,104.59,-0.02
2024-04-18,104.43,-0.02
2024-04-19,103.79,-0.02
2024-04-20,103.79,-0.02
2024-04-21,103.79,-0.02
2024-04-22,103.63,-0.03
2024-04-23,104.17,-0.02
2024-04-24,104.2,-0.02
2024-04-25,104.1,-0.02
2024-04-26,104.8,-0.02
2024-04-27,104.8,-0.02
2024-04-28,104.8,-0.02
2024-04-29,104.98,-0.01
2024-04-30,103.7,-0.03
2024-05-01,103.7,-0.03
2024-05-02,104.21,-0.02
2024-05-03,105.04,-0.01
2024-05-04,105.04,-0.01
2024-05-05,105.04,-0.01
2024-05-06,105.73,-0.01
2024-05-07,105.69,-0.01
2024-05-08,105.58,-0.01
2024-05-09,106.12,0
2024-05-10,106.34,0
2024-05-11,106.34,0
2024-05-12,106.34,0
2024-05-13,106.2,0
2024-05-14,106.69,0
2024-05-15,107.74,0
2024-05-16,107.55,0
2024-05-17,107.87,0
2024-05-18,107.87,0
2024-05-19,107.87,0
2024-05-20,108.2,0
2024-05-21,108.3,0
2024-05-22,107.82,0
2024-05-23,107.09,-0.01
2024-05-24,107.52,-0.01
2024-05-25,107.52,-0.01
2024-05-26,107.52,-0.01
2024-05-27,107.52,-0.01
2024-05-28,107.8,0
2024-05-29,107.21,-0.01
2024-05-30,106.9,-0.01
2024-05-31,106.88,-0.01
2024-06-01,106.88,-0.01
2024-06-02,106.88,-0.01
2024-06-03,107.37,-0.01
2024-06-04,107.35,-0.01
2024-06-05,108.47,0
2024-06-06,108.64,0
2024-06-07,107.63,-0.01
2024-06-08,107.63,-0.01
2024-06-09,107.63,-0.01
2024-06-10,107.97,-0.01
2024-06-11,108.39,0
2024-06-12,109.07,0
2024-06-13,109.21,0
2024-06-14,109.73,0
2024-06-15,109.73,0
2024-06-16,109.73,0
2024-06-17,110.06,0
2024-06-18,110.27,0
2024-06-19,110.27,0
2024-06-20,110.21,0
2024-06-21,109.76,0
2024-06-22,109.76,0
2024-06-23,109.76,0
2024-06-24,109.43,-0.01
2024-06-25,109.77,0
2024-06-26,109.57,-0.01
2024-06-27,109.98,0
2024-06-28,109.66,-0.01
2024-06-29,109.66,-0.01
2024-06-30,109.66,-0.01
2024-07-01,109.86,0
2024-07-02,110.36,0
2024-07-03,111.07,0
2024-07-04,111.07,0
2024-07-05,111.91,0
2024-07-06,111.91,0
2024-07-07,111.91,0
2024-07-08,111.74,0
2024-07-09,111.8,0
2024-07-10,112.4,0
2024-07-11,112,0
2024-07-12,112.32,0
2024-07-13,112.32,0
2024-07-14,112.32,0
2024-07-15,112.48,0
2024-07-16,113.09,0
2024-07-17,111.76,-0.01
2024-07-18,111.32,-0.02
2024-07-19,110.46,-0.02
2024-07-20,110.46,-0.02
2024-07-21,110.46,-0.02
2024-07-22,111.1,-0.02
2024-07-23,111.05,-0.02
2024-07-24,109.4,-0.03
2024-07-25,108.64,-0.04
2024-07-26,109.44,-0.03
2024-07-27,109.44,-0.03
2024-07-28,109.44,-0.03
2024-07-29,109.51,-0.03
2024-07-30,109.26,-0.03
2024-07-31,110.97,-0.02
2024-08-01,109.95,-0.03
2024-08-02,109.14,-0.03
2024-08-03,109.14,-0.03
2024-08-04,109.14,-0.03
2024-08-05,107.56,-0.05
2024-08-06,107.63,-0.05
2024-08-07,107.14,-0.05
2024-08-08,108.69,-0.04
2024-08-09,109.04,-0.04
2024-08-10,109.04,-0.04
2024-08-11,109.04,-0.04
2024-08-12,109.57,-0.03
2024-08-13,110.62,-0.02
2024-08-14,110.5,-0.02
2024-08-15,111.53,-0.01
2024-08-16,112.17,-0.01
2024-08-17,112.17,-0.01
2024-08-18,112.17,-0.01
2024-08-19,112.74,0
2024-08-20,112.79,0
2024-08-21,113.01,0
2024-08-22,111.99,-0.01
2024-08-23,112.86,0
2024-08-24,112.86,0
2024-08-25,112.86,0
2024-08-26,112.55,0
2024-08-27,112.73,0
2024-08-28,112.09,-0.01
2024-08-29,112.14,-0.01
2024-08-30,112.45,-0.01
2024-08-31,112.45,-0.01
2024-09-01,112.45,-0.01
2024-09-02,112.45,-0.01
2024-09-03,111.16,-0.02
2024-09-04,111.15,-0.02
2024-09-05,111.39,-0.02
2024-09-06,110.14,-0.03
2024-09-07,110.14,-0.03
2024-09-08,110.14,-0.03
2024-09-09,110.82,-0.02
2024-09-10,111.36,-0.02
2024-09-11,112.16,-0.01
2024-09-12,113.01,0
2024-09-13,113.51,0
2024-09-14,113.51,0
2024-09-15,113.51,0
2024-09-16,113.41,0
2024-09-17,113.28,0
2024-09-18,112.84,-0.01
2024-09-19,114.29,0
2024-09-20,114.53,0
2024-09-21,114.53,0
2024-09-22,114.53,0
2024-09-23,114.69,0
2024-09-24,115.28,0
2024-09-25,115.2,0
2024-09-26,115.63,0
2024-09-27,115.27,0
2024-09-28,115.27,0
2024-09-29,115.27,0
2024-09-30,115.18,0
2024-10-01,114.89,-0.01
2024-10-02,114.91,-0.01
2024-10-03,114.78,-0.01
2024-10-04,115.1,0
2024-10-05,115.1,0
2024-10-06,115.1,0
2024-10-07,114.48,-0.01
2024-10-08,114.94,-0.01
2024-10-09,115.12,0
2024-10-10,115.25,0
2024-10-11,115.66,0
2024-10-12,115.66,0
2024-10-13,115.66,0
2024-10-14,116,0
2024-10-15,115.6,0
2024-10-16,115.81,0
2024-10-17,115.92,0
2024-10-18,116.5,0
2024-10-19,116.5,0
2024-10-20,116.5,0
2024-10-21,116.44,0
2024-10-22,116.74,0
2024-10-23,115.71,-0.01
2024-10-24,116.26,0
2024-10-25,116.52,0
2024-10-26,116.52,0
2024-10-27,116.52,0
