,NAV,MDD
2024-04-07,104.47,0
2024-04-08,104.61,0
2024-04-09,104.81,0
2024-04-10,104.23,-0.01
2024-04-11,104.87,0
2024-04-12,104.21,-0.01
2024-04-13,104.21,-0.01
2024-04-14,104.21,-0.01
2024-04-15,103.83,-0.01
2024-04-16,103.76,-0.01
2024-04-17,103.39,-0.01
2024-04-18,103.32,-0.01
2024-04-19,102.88,-0.02
2024-04-20,102.88,-0.02
2024-04-21,102.88,-0.02
2024-04-22,103.02,-0.02
2024-04-23,103.5,-0.01
2024-04-24,103.51,-0.01
2024-04-25,103.41,-0.01
2024-04-26,103.94,-0.01
2024-04-27,103.94,-0.01
2024-04-28,103.94,-0.01
2024-04-29,104.1,-0.01
2024-04-30,103.17,-0.02
2024-05-01,103.2,-0.02
2024-05-02,103.67,-0.01
2024-05-03,104.3,-0.01
2024-05-04,104.3,-0.01
2024-05-05,104.3,-0.01
2024-05-06,104.78,0
2024-05-07,104.76,0
2024-05-08,104.68,0
2024-05-09,104.99,0
2024-05-10,105.11,0
2024-05-11,105.11,0
2024-05-12,105.11,0
2024-05-13,105.04,0
2024-05-14,105.37,0
2024-05-15,106.11,0
2024-05-16,105.97,0
2024-05-17,106.17,0
2024-05-18,106.17,0
2024-05-19,106.17,0
2024-05-20,106.41,0
2024-05-21,106.45,0
2024-05-22,106.16,0
2024-05-23,105.7,-0.01
2024-05-24,106.07,0
2024-05-25,106.07,0
2024-05-26,106.07,0
2024-05-27,106.07,0
2024-05-28,106.19,0
2024-05-29,105.8,-0.01
2024-05-30,105.6,-0.01
2024-05-31,105.67,-0.01
2024-06-01,105.67,-0.01
2024-06-02,105.67,-0.01
2024-06-03,105.97,0
2024-06-04,105.94,0
2024-06-05,106.72,0
2024-06-06,106.77,0
2024-06-07,106.29,0
2024-06-08,106.29,0
2024-06-09,106.29,0
2024-06-10,106.55,0
2024-06-11,106.8,0
2024-06-12,107.31,0
2024-06-13,107.37,0
2024-06-14,107.58,0
2024-06-15,107.58,0
2024-06-16,107.58,0
2024-06-17,107.92,0
2024-06-18,108.07,0
2024-06-19,108.07,0
2024-06-20,108,0
2024-06-21,107.78,0
2024-06-22,107.78,0
2024-06-23,107.78,0
2024-06-24,107.51,-0.01
2024-06-25,107.79,0
2024-06-26,107.71,0
2024-06-27,107.95,0
2024-06-28,107.74,0
2024-06-29,107.74,0
2024-06-30,107.74,0
2024-07-01,107.94,0
2024-07-02,108.33,0
2024-07-03,108.79,0
2024-07-04,108.79,0
2024-07-05,109.34,0
2024-07-06,109.34,0
2024-07-07,109.34,0
2024-07-08,109.27,0
2024-07-09,109.29,0
2024-07-10,109.77,0
2024-07-11,109.41,0
2024-07-12,109.69,0
2024-07-13,109.69,0
2024-07-14,109.69,0
2024-07-15,109.84,0
2024-07-16,110.23,0
2024-07-17,109.28,-0.01
2024-07-18,108.96,-0.01
2024-07-19,108.46,-0.02
2024-07-20,108.46,-0.02
2024-07-21,108.46,-0.02
2024-07-22,109.02,-0.01
2024-07-23,108.96,-0.01
2024-07-24,107.75,-0.02
2024-07-25,107.27,-0.03
2024-07-26,107.83,-0.02
2024-07-27,107.83,-0.02
2024-07-28,107.83,-0.02
2024-07-29,107.85,-0.02
2024-07-30,107.62,-0.02
2024-07-31,108.76,-0.01
2024-08-01,107.96,-0.02
2024-08-02,107.14,-0.03
2024-08-03,107.14,-0.03
2024-08-04,107.14,-0.03
2024-08-05,105.88,-0.04
2024-08-06,106.17,-0.04
