Date,NAV,MDD
2024-03-31,108.87,-0.01
2024-04-01,108.81,-0.01
2024-04-02,108.13,-0.01
2024-04-03,108.37,-0.01
2024-04-04,107.34,-0.02
2024-04-05,107.82,-0.02
2024-04-06,107.82,-0.02
2024-04-07,107.82,-0.02
2024-04-08,107.86,-0.02
2024-04-09,108.25,-0.01
2024-04-10,107.04,-0.02
2024-04-11,107.89,-0.02
2024-04-12,106.61,-0.03
2024-04-13,106.61,-0.03
2024-04-14,106.61,-0.03
2024-04-15,105.41,-0.04
2024-04-16,105.36,-0.04
2024-04-17,104.6,-0.05
2024-04-18,103.95,-0.05
2024-04-19,102.55,-0.06
2024-04-20,102.55,-0.06
2024-04-21,102.55,-0.06
2024-04-22,103.39,-0.06
2024-04-23,104.53,-0.05
2024-04-24,104.45,-0.05
2024-04-25,104.63,-0.04
2024-04-26,105.8,-0.03
2024-04-27,105.8,-0.03
2024-04-28,105.8,-0.03
2024-04-29,106.2,-0.03
2024-04-30,104.82,-0.04
2024-05-01,104.17,-0.05
2024-05-02,105.28,-0.04
2024-05-03,106.61,-0.03
2024-05-04,106.61,-0.03
2024-05-05,106.61,-0.03
2024-05-06,107.61,-0.02
2024-05-07,107.47,-0.02
2024-05-08,107.42,-0.02
2024-05-09,107.62,-0.02
2024-05-10,107.93,-0.01
2024-05-11,107.93,-0.01
2024-05-12,107.93,-0.01
2024-05-13,108.05,-0.01
2024-05-14,108.83,-0.01
2024-05-15,110.47,0
2024-05-16,110.12,0
2024-05-17,109.88,-0.01
2024-05-18,109.88,-0.01
2024-05-19,109.88,-0.01
2024-05-20,110.43,0
2024-05-21,110.52,0
2024-05-22,110.56,0
2024-05-23,110.43,0
2024-05-24,111.23,0
2024-05-25,111.23,0
2024-05-26,111.23,0
2024-05-27,111.23,0
2024-05-28,111.65,0
2024-05-29,110.69,-0.01
2024-05-30,110.04,-0.01
2024-05-31,110.2,-0.01
2024-06-01,110.2,-0.01
2024-06-02,110.2,-0.01
2024-06-03,110.85,-0.01
2024-06-04,110.92,-0.01
2024-06-05,112.96,0
2024-06-06,112.77,0
2024-06-07,112.22,-0.01
